Date,Attendance
1967,61946
1968,75546
1969,75389
1970,80562
1971,79204
1972,81023
1973,90182
1974,71882
1975,80997
1976,80187
1977,103438
1978,76400
1979,79484
1980,103985
1981,76135
1982,81270
1983,103667
1984,72920
1985,84059
1986,73818
1987,101063
1988,73302
1989,75129
1990,72919
1991,73813
1992,63130
1993,98374
1994,72817
1995,74107
1996,76347
1997,72301
1998,68912
1999,74803
2000,72625
2001,71921
2002,72922
2003,67603
2004,71525
2005,78125
2006,68206
2007,74512
2008,71101
2009,70774
2010,74059
2011,103219
2012,68658
2013,71024
2014,82529
2015,70288
2016,71088
2017,70807
2018,67612
