DATE,Bank Deposits (Millions USD)
1916,26219.000000000000
1917,30258.000000000000
1918,32373.000000000000
1919,37473.000000000000
1920,41282.000000000000
1921,38505.000000000000
1922,40814.000000000000
1923,44917.500000000000
1924,49089.500000000000
1925,52876.000000000000
1926,54158.500000000000
1927,56664.500000000000
1928,59635.500000000000
1929,58886.500000000000
1930,58960.000000000000
1931,53205.500000000000
1932,46148.500000000000
1933,41828.500000000000
1934,48071.500000000000
1935,53194.000000000000
1936,59251.500000000000
1937,58858.000000000000
1938,60055.500000000000
1939,66223.500000000000
1940,73366.500000000000
1941,79950.000000000000
