Year,Total Visitors
1966,834732
1967,1124012
1968,1313706
1969,1526074
1970,1745904
1971,1817941
1972,2233627
1973,2622376
1974,2804394
1975,2818082
1976,3213249
1977,3413095
1978,3676967
1979,3966192
1980,3928789
1981,3928906
1982,4227733
1983,4356317
1984,4827884
1985,4843414
1986,5569067
1987,5770585
1988,6101483
1989,6488422
1990,6723531
1991,6518460
1992,6473669
1993,6070995
1994,6364674
1995,6546759
1996,6723141
1997,6761135
1998,6595790
1999,6741037
2000,6948595
2001,6303791
2002,6389058
2003,6380439
2004,6912094
2005,7416574
2006,7528106
2007,7496820
2008,6713436
2009,6420448
2010,6916894
2011,7174397
